"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3375","TestCase#1 to Search a valid product!","tests.conftest_approach","Wed Nov 27 07:27:02 IST 2024","passed","Wed Nov 27 07:27:06 IST 2024","TestSearch","test_Search","",""
"Filling all the mandatory fields","10931","TestCase#1 to register with mandary fields!","tests.conftest_approach","Wed Nov 27 07:25:47 IST 2024","passed","Wed Nov 27 07:25:58 IST 2024","TestRegister","test_Register","",""
"","11987","TestCase#3 to Test a Login with without entering any Credentials","tests.conftest_approach","Wed Nov 27 07:25:30 IST 2024","passed","Wed Nov 27 07:25:42 IST 2024","TestLogin","test_Login","",""
"","7417","TestCase#1 to Test a Login with Valid Credentials","tests.conftest_approach","Wed Nov 27 07:24:38 IST 2024","passed","Wed Nov 27 07:24:45 IST 2024","TestLogin","test_Login","",""
"","3516","TestCase#3 to Search without entering any valid product!","tests.conftest_approach","Wed Nov 27 07:27:26 IST 2024","passed","Wed Nov 27 07:27:30 IST 2024","TestSearch","test_Search","",""
"Filling all the mandatory fields with new email/passwords","10817","TestCase#2 to register with new email/passwords!","tests.conftest_approach","Wed Nov 27 07:26:06 IST 2024","passed","Wed Nov 27 07:26:17 IST 2024","TestRegister","test_Register","",""
"","10122","TestCase#2 to Test a Login with InValid email and Valid password Credentials","tests.conftest_approach","Wed Nov 27 07:24:54 IST 2024","passed","Wed Nov 27 07:25:04 IST 2024","TestLogin","test_Login","",""
"Filling  with existing email/passwords","10708","TestCase#3 to register with existing email/passwords!","tests.conftest_approach","Wed Nov 27 07:26:25 IST 2024","passed","Wed Nov 27 07:26:36 IST 2024","TestRegister","test_Register","",""
"Leaving as empty at fields and validating the input fields","12374","TestCase#4 to without entering any fields!","tests.conftest_approach","Wed Nov 27 07:26:45 IST 2024","passed","Wed Nov 27 07:26:57 IST 2024","TestRegister","test_Register","",""
"","3569","TestCase#1 to Search a Invalid product!","tests.conftest_approach","Wed Nov 27 07:27:14 IST 2024","passed","Wed Nov 27 07:27:18 IST 2024","TestSearch","test_Search","",""
"","7948","TestCase#2 to Test a Login with Valid email with invalid password Credentials","tests.conftest_approach","Wed Nov 27 07:25:13 IST 2024","passed","Wed Nov 27 07:25:21 IST 2024","TestLogin","test_Login","",""
